|M| = 0
make network |V|=2000 |E|=4000
                not_group                          group  
t, Accessible, ave_query, ave_time, TABLE_REQ
00 0.8594297149 5.4697348674 0.1323024131 0.00000000
01 0.8979489745 1.7458729365 0.0214646765 0.00000000
02 0.9014507254 1.4852426213 0.0149263185 0.00000000
03 0.9049524762 1.4372186093 0.0129135262 0.00000000
04 0.9104552276 1.5717858929 0.0197271524 0.00000000
05 0.9054527264 1.5712856428 0.0157209638 0.00000000
06 0.9074537269 1.6008004002 0.0158881332 0.00000000
07 0.9024512256 1.9914957479 0.0258332585 0.00000000
08 0.9059529765 1.6133066533 0.0162008776 0.00000000
09 0.9064532266 1.9504752376 0.0208946763 0.00000000
10 0.9114557279 1.7353676838 0.0166888725 0.00000000
11 0.9189594797 1.6553276638 0.0163862284 0.00000000
12 0.9254627314 1.6048024012 0.0167831592 0.00000000
13 0.9304652326 1.6823411706 0.0225669258 0.00000000
14 0.9349674837 1.4887443722 0.0204680948 0.00000000
15 0.9434717359 1.3926963482 0.0250539121 0.00000000
16 0.9434717359 1.3496748374 0.0202741712 0.00000000
17 0.9409704852 1.3721860930 0.0208898194 0.00000000
18 0.9564782391 1.2611305653 0.0225590738 0.00000000
19 0.9554777389 1.3576788394 0.0218611825 0.00000000
20 0.9604802401 1.1575787894 0.0180793816 0.00000000
21 0.9619809905 1.1060530265 0.0159879890 0.00000000
22 0.9594797399 1.1875937969 0.0193706599 0.00000000
23 0.9549774887 1.2926463232 0.0225915958 0.00000000
24 0.9554777389 1.1740870435 0.0188344239 0.00000000
25 0.9549774887 1.2011005503 0.0179727428 0.00000000
26 0.9539769885 1.2811405703 0.0202409892 0.00000000
27 0.9569784892 1.1425712856 0.0161009194 0.00000000
28 0.9549774887 1.4237118559 0.0264213399 0.00000000
29 0.9589794897 1.3386693347 0.0222202234 0.00000000
30 0.9599799900 1.2901450725 0.0218390564 0.00000000
31 0.9594797399 1.2231115558 0.0190007219 0.00000000
32 0.9579789895 1.3041520760 0.0201306510 0.00000000
33 0.9589794897 1.2261130565 0.0181837640 0.00000000
34 0.9604802401 1.2546273137 0.0199554738 0.00000000
35 0.9564782391 1.4407203602 0.0252009107 0.00000000
36 0.9549774887 1.2316158079 0.0185046319 0.00000000
37 0.9569784892 1.2421210605 0.0182492232 0.00000000
38 0.9574787394 1.1995997999 0.0170668305 0.00000000
