#|M| = 50
#t=[1,29]:グループ作成前 t=[30,T]:グループ作成後
#               グループ無し                        グループ有り
#t accessible, %      num query
1 0.8834417208604303 0.92771385692846420 0.883441720860430 0.92771385692846420
2 0.8814407203601801 0.52542938135734530 0.881440720360180 0.52542938135734530
3 0.8894447223611806 0.41420710355177580 0.889444722361180 0.41420710355177580
4 0.8839419709854928 0.36078039019509750 0.883941970985492 0.36078039019509750
5 0.8879439719859930 0.27622144405536100 0.887943971985993 0.27622144405536100
6 0.8914457228614308 0.23340241549346100 0.891445722861430 0.23340241549346100
7 0.8934467233616809 0.20372686343171580 0.893446723361680 0.20372686343171580
8 0.8954477238619309 0.16752820854871880 0.895447723861930 0.16752820854871880
9 0.9019509754877438 0.16058029014507250 0.901950975487743 0.16058029014507250
10 0.898449224612306 0.15098458320069125 0.898449224612306 0.15098458320069125
11 0.905452726363181 0.12856428214107055 0.905452726363181 0.12856428214107055
12 0.915957978989494 0.11155577788894447 0.915957978989494 0.11155577788894447
13 0.913456728364182 0.11427142142499822 0.913456728364182 0.11427142142499822
14 0.920960480240120 0.09541437385359346 0.920960480240120 0.09541437385359346
15 0.923961980990495 0.09138944472236118 0.923961980990495 0.09138944472236118
16 0.926963481740870 0.08342406497366331 0.926963481740870 0.08342406497366331
17 0.929964982491245 0.07464843532877549 0.929964982491245 0.07464843532877549
18 0.927463731865933 0.07490587398962639 0.927463731865933 0.07490587398962639
19 0.930465232616308 0.07656328164082041 0.930465232616308 0.07656328164082041
20 0.932466233116558 0.06741465971080779 0.932466233116558 0.06741465971080779
21 0.930965482741370 0.07110373368502433 0.930965482741370 0.07110373368502433
22 0.933466733366683 0.08271527067881768 0.933466733366683 0.08271527067881768
23 0.936968484242121 0.06682507920626980 0.936968484242121 0.06682507920626980
24 0.934967483741870 0.06045022511255628 0.934967483741870 0.06045022511255628
25 0.936968484242121 0.07759649055296879 0.936968484242121 0.07759649055296879
26 0.939969984992496 0.06264243232727475 0.939969984992496 0.06264243232727475
27 0.938469234617308 0.06044093475309083 0.938469234617308 0.06044093475309083
28 0.935967983991996 0.05587276396819099 0.935967983991996 0.05587276396819099
29 0.934467233616808 0.05482741370685343 0.934467233616808 0.05482741370685343
#後半開始
30 0.9514757378689345 0.043182881763462376 0.9659829914957478 0.034872274847100970
31 0.9544772386193097 0.045585292646323160 0.9649824912456229 0.037206103051525760
32 0.9489744872436218 0.047705671017326846 0.9644822411205602 0.036882077402337530
33 0.9494747373686844 0.048038725244975426 0.9639819909954978 0.038166141894476650
34 0.9474737368684342 0.050682484099192450 0.9624812406203102 0.040291574358607876
35 0.9454727363681841 0.051192262798065700 0.9619809904952477 0.040436885109221280
36 0.9479739869934968 0.048578343225666890 0.9619809904952477 0.037816205399997300
37 0.9494747373686844 0.048326794976435584 0.9654827413706853 0.037189647455306600
38 0.9479739869934968 0.049896743243416580 0.9629814907453726 0.038634701966367800
39 0.9514757378689345 0.049062031015507754 0.9639819909954978 0.038269134567283640
40 0.9509754877438720 0.047767786332190480 0.9629814907453726 0.036981905586939810
41 0.9519759879939970 0.045451297077109990 0.9644822411205602 0.034803115843636100
42 0.9529764882441221 0.045790337028979604 0.9639819909954978 0.035890038042276950
43 0.9514757378689345 0.045045249897676110 0.9629814907453726 0.035449542953294830
44 0.9504752376188094 0.046123061530765380 0.9634817408704353 0.036240342393418930
45 0.9484742371185593 0.045588011397002850 0.9614807403701850 0.035713508928377234
46 0.9554777388694348 0.044926718678488180 0.9689844922461230 0.034251168137260120
47 0.9549774887443722 0.044032432883108220 0.9649824912456229 0.034152492913123230
48 0.9514757378689345 0.044552888689242580 0.9644822411205602 0.034833743402313400
49 0.9514757378689345 0.043441720860430216 0.9654827413706853 0.033636818409204600
50 0.9544772386193097 0.042550687108260016 0.9674837418709354 0.033085170035998390
51 0.9484742371185593 0.042867587639973836 0.9619809904952477 0.033584099742178780
52 0.9479739869934968 0.043540638243650130 0.9619809904952477 0.034271852907585866
53 0.9484742371185593 0.041613399292238715 0.9619809904952477 0.032571841476293700
54 0.9484742371185593 0.040201919141388875 0.9614807403701850 0.031242894174359910
55 0.9469734867433717 0.041038376331022655 0.9599799899949975 0.031855213320946190
56 0.9469734867433717 0.040169207410722906 0.9594797398699350 0.031041836707827600
57 0.9474737368684342 0.039821634955408740 0.9609804902451226 0.030929257732314433
58 0.9474737368684342 0.039426492907470680 0.9614807403701850 0.030523736444493434
59 0.9459729864932466 0.039469734867433715 0.9609804902451226 0.030498582624645658
