#|M| = 10
#t=[1,29]:グループ作成前 t=[30,T]:グループ作成後
#               グループ無し                        グループ有り
#t accessible, %      num query
1 0.8834417208604303 0.927713856928464200 0.8834417208604303 0.92771385692846420 
2 0.8814407203601801 0.525429381357345300 0.8814407203601801 0.52542938135734530 
3 0.8894447223611806 0.414207103551775870 0.8894447223611806 0.41420710355177587 
4 0.8839419709854928 0.360780390195097560 0.8839419709854928 0.36078039019509756 
5 0.8879439719859930 0.276221444055361030 0.8879439719859930 0.27622144405536103 
6 0.8914457228614308 0.233402415493461020 0.8914457228614308 0.23340241549346102 
7 0.8934467233616809 0.203726863431715870 0.8934467233616809 0.20372686343171587 
8 0.8954477238619309 0.167528208548718800 0.8954477238619309 0.16752820854871880 
9 0.9019509754877438 0.160580290145072520 0.9019509754877438 0.16058029014507252 
10 0.8984492246123061 0.15098458320069125 0.8984492246123061 0.15098458320069125 
11 0.9054527263631816 0.12856428214107055 0.9054527263631816 0.12856428214107055 
12 0.9159579789894947 0.11155577788894447 0.9159579789894947 0.11155577788894447 
13 0.9134567283641821 0.11427142142499822 0.9134567283641821 0.11427142142499822 
14 0.9209604802401200 0.09541437385359346 0.9209604802401200 0.09541437385359346 
15 0.9239619809904952 0.09138944472236118 0.9239619809904952 0.09138944472236118 
16 0.9269634817408704 0.08342406497366331 0.9269634817408704 0.08342406497366331 
17 0.9299649824912456 0.07464843532877549 0.9299649824912456 0.07464843532877549 
18 0.9274637318659330 0.07490587398962639 0.9274637318659330 0.07490587398962639 
19 0.9304652326163082 0.07656328164082041 0.9304652326163082 0.07656328164082041 
20 0.9324662331165583 0.06741465971080779 0.9324662331165583 0.06741465971080779 
21 0.9309654827413707 0.07110373368502433 0.9309654827413707 0.07110373368502433 
22 0.9334667333666833 0.08271527067881768 0.9334667333666833 0.08271527067881768 
23 0.9369684842421211 0.06682507920626980 0.9369684842421211 0.06682507920626980 
24 0.9349674837418709 0.06045022511255628 0.9349674837418709 0.06045022511255628 
25 0.9369684842421211 0.07759649055296879 0.9369684842421211 0.07759649055296879 
26 0.9399699849924963 0.06264243232727475 0.9399699849924963 0.06264243232727475 
27 0.9384692346173087 0.06044093475309083 0.9384692346173087 0.06044093475309083 
28 0.9359679839919960 0.05587276396819099 0.9359679839919960 0.05587276396819099 
29 0.9344672336168084 0.05482741370685343 0.9344672336168084 0.05482741370685343 
#後半
30 0.9394697348674337 0.04795946360276913 0.9409704852426213 0.04720101986477109
31 0.9449724862431216 0.04553839419709855 0.9474737368684342 0.04447536268134067
32 0.9454727363681841 0.04077796473994573 0.9459729864932466 0.04002001000500250
33 0.9454727363681841 0.04022599535061649 0.9469734867433717 0.03937262749021569
34 0.9414707353676839 0.04485099692703494 0.9424712356178089 0.04390766811977417
35 0.9399699849924963 0.04327163581790895 0.9414707353676839 0.04214607303651826
36 0.9394697348674337 0.04114219271798061 0.9404702351175588 0.04041209794086232
37 0.9394697348674337 0.04050709565308970 0.9409704852426213 0.03971722703456992
38 0.9389694847423712 0.04145662574877182 0.9404702351175588 0.04055874090891599
39 0.9444722361180591 0.03859429714857428 0.9464732366183092 0.03761880940470235
40 0.9424712356178089 0.03717712514793982 0.9444722361180591 0.03609121633987725
41 0.9454727363681841 0.03437433002215393 0.9459729864932466 0.03317134757855118
42 0.9464732366183092 0.03344695603615761 0.9479739869934968 0.03233011854764591
43 0.9449724862431216 0.03243667288189549 0.9464732366183092 0.03129974077948064
44 0.9464732366183092 0.03316102495692290 0.9479739869934968 0.03213829136790618
45 0.9454727363681841 0.03145050786262696 0.9469734867433717 0.03047175761793940
46 0.9469734867433717 0.03289942843762306 0.9484742371185593 0.03190957180718019
47 0.9454727363681841 0.03264132066033017 0.9469734867433717 0.03150533600133400
48 0.9509754877438720 0.03060714030484630 0.9534767383691846 0.02927994609549672
49 0.9539769884942472 0.02864432216108054 0.9539769884942472 0.02740370185092546
50 0.9579789894947474 0.02743528627058627 0.9589794897448725 0.02644459484644283
51 0.9554777388694348 0.02684034324854735 0.9564782391195598 0.02600338630853888
52 0.9564782391195598 0.02682473312127762 0.9574787393696849 0.02597525177683181
53 0.9579789894947474 0.02473458951698071 0.9589794897448725 0.02379893650528968
54 0.9589794897448725 0.02439401518941289 0.9609804902451226 0.02305698303697303
55 0.9579789894947474 0.02559315371971700 0.9594797398699350 0.02442292574858858
56 0.9569784892446224 0.02352930851390607 0.9584792396198099 0.02257268985369878
57 0.9574787393696849 0.02327888081972020 0.9589794897448725 0.02236463059115764
58 0.9569784892446224 0.02335065838003747 0.9584792396198099 0.02240103102398656
59 0.9569784892446224 0.02322828080707020 0.9579789894947474 0.02236118059029514
