#グループを作った際にそれまでの探索で見つけた候補ルートを一度削除してみた
|M| = 0
make network |V|=2000 |E|=4000
                not_group                          group  
t, Accessible, ave_query, ave_time, TABLE_REQ, ave_member_used ave_member_used_M=0
03 0.9069534767 1.7413706853 0.0194211843 0.00000000 0.00000000 0.00000000
04 0.9029514757 1.6488244122 0.0148893113 0.00000000 0.00000000 0.00000000
05 0.9074537269 1.6008004002 0.0149797600 0.00000000 0.00000000 0.00000000
06 0.9114557279 1.5872936468 0.0138952776 0.00000000 0.00000000 0.00000000
07 0.9094547274 1.6368184092 0.0140778851 0.00000000 0.00000000 0.00000000
08 0.9219609805 1.5747873937 0.0175746594 0.00000000 0.00000000 0.00000000
09 0.9249624812 1.4807403702 0.0146599314 0.00000000 0.00000000 0.00000000
10 0.9229614807 1.4837418709 0.0146170382 0.00000000 0.00000000 0.00000000
11 0.9244622311 1.4872436218 0.0135469054 0.00000000 0.00000000 0.00000000
12 0.9289644822 1.4887443722 0.0167945682 0.00000000 0.00000000 0.00000000
13 0.9319659830 1.3071535768 0.0110102638 0.00000000 0.00000000 0.00000000
14 0.9309654827 1.4492246123 0.0149549466 0.00000000 0.00000000 0.00000000
15 0.9319659830 1.4712356178 0.0180606495 0.00000000 0.00000000 0.00000000
16 0.9314657329 1.2921460730 0.0116014021 0.00000000 0.00000000 0.00000000
17 0.9204602301 1.8494247124 0.0272447252 0.00000000 0.00000000 0.00000000
18 0.9299649825 1.4792396198 0.0214850613 0.00000000 0.00000000 0.00000000
19 0.9334667334 1.4242121061 0.0211410641 0.00000000 0.00000000 0.00000000
20 0.9324662331 1.4172086043 0.0179383771 0.00000000 0.00000000 0.00000000
21 0.9364682341 1.6713356678 0.0282285549 0.00000000 0.00000000 0.00000000
22 0.9414707354 1.4572286143 0.0256961950 0.00000000 0.00000000 0.00000000
23 0.9434717359 1.3721860930 0.0242119404 0.00000000 0.00000000 0.00000000
24 0.9454727364 1.3911955978 0.0213623111 0.00000000 0.00000000 0.00000000
25 0.9429714857 1.4402201101 0.0214559166 0.00000000 0.00000000 0.00000000
26 0.9394697349 1.5852926463 0.0228852183 0.00000000 0.00000000 0.00000000
27 0.9424712356 1.4687343672 0.0205348473 0.00000000 0.00000000 0.00000000
28 0.9424712356 1.3916958479 0.0183424826 0.00000000 0.00000000 0.00000000
29 0.9439719860 1.4432216108 0.0222810187 0.00000000 0.00000000 0.00000000
30 0.8034017009 6.0255127564 0.1174556606 8.40000000 88.20000000 79.40000000
31 0.8294147074 2.5657828914 0.0275933259 3.20000000 95.80000000 85.20000000
32 0.8359179590 2.2851425713 0.0214467092 3.60000000 92.20000000 80.80000000
33 0.8389194597 2.1795897949 0.0186735441 2.80000000 98.80000000 86.60000000
34 0.8694347174 2.0385192596 0.0227715154 2.20000000 100.60000000 89.20000000
35 0.8799399700 1.8594297149 0.0171717388 1.60000000 104.20000000 93.20000000
36 0.8814407204 1.7993996998 0.0157799512 1.40000000 104.20000000 93.20000000
37 0.8984492246 1.7758879440 0.0199435822 1.60000000 112.40000000 99.60000000
38 0.9004502251 1.5857928964 0.0157295187 1.00000000 112.40000000 99.60000000
39 0.9014507254 1.6723361681 0.0175163899 1.00000000 112.00000000 99.20000000
40 0.9009504752 1.7843921961 0.0227100026 1.60000000 109.20000000 93.60000000
41 0.9024512256 1.6743371686 0.0165054576 1.80000000 112.20000000 93.60000000
42 0.9084542271 1.6323161581 0.0162128115 1.40000000 114.40000000 96.40000000
43 0.9264632316 1.5962981491 0.0260969736 2.00000000 116.40000000 99.40000000
44 0.9269634817 1.6618309155 0.0281869777 1.80000000 119.40000000 99.40000000
45 0.9214607304 1.5817908954 0.0210451083 2.20000000 119.60000000 101.00000000
46 0.9244622311 1.5117558779 0.0177781210 1.80000000 121.60000000 103.00000000
47 0.9249624812 1.7278639320 0.0226313482 2.20000000 124.20000000 103.00000000
48 0.9379689845 1.4167083542 0.0170780617 1.60000000 126.40000000 104.80000000
49 0.9359679840 1.7153576788 0.0273571971 2.40000000 141.80000000 116.20000000
50 0.9409704852 1.4127063532 0.0178304500 1.80000000 149.00000000 122.60000000
51 0.9444722361 1.4152076038 0.0209487126 1.60000000 155.80000000 129.00000000
52 0.9499749875 1.2421210605 0.0173110160 1.80000000 165.20000000 137.20000000
