|M| = 15
make network |V|=2000 |E|=4000
                flare                          flare.re  
t, Accessible, ave_query, ave_time, TABLE_REQ
00 0.8380000000 5.4160000000 0.1461295800 0.00000000
01 0.8800000000 1.9580000000 0.0236280570 0.00000000
02 0.8810000000 1.7870000000 0.0144446101 0.00000000
03 0.8830000000 1.7570000000 0.0181635327 0.00000000
04 0.8870000000 1.7840000000 0.0218615241 0.00000000
05 0.8920000000 1.8140000000 0.0270751607 0.00000000
06 0.8960000000 1.7100000000 0.0190575068 0.00000000
07 0.8950000000 1.6380000000 0.0168782558 0.00000000
08 0.8970000000 1.6820000000 0.0189698014 0.00000000
09 0.9040000000 1.4670000000 0.0161744676 0.00000000
10 0.9100000000 1.5690000000 0.0178620369 0.00000000
11 0.9130000000 1.7500000000 0.0285418186 0.00000000
12 0.9110000000 1.9780000000 0.0328796368 0.00000000
13 0.9160000000 1.8330000000 0.0334743564 0.00000000
14 0.9150000000 1.7250000000 0.0270324414 0.00000000
15 0.9070000000 1.6580000000 0.0220331464 0.00000000
16 0.9110000000 1.5580000000 0.0195543518 0.00000000
17 0.9120000000 1.8090000000 0.0227716804 0.00000000
18 0.9130000000 1.7310000000 0.0234074154 0.00000000
19 0.9080000000 1.6250000000 0.0179976368 0.00000000
20 0.9100000000 1.6350000000 0.0152727592 0.00000000
21 0.9150000000 1.4940000000 0.0151812341 0.00000000
22 0.9190000000 1.3910000000 0.0122217822 0.00000000
23 0.9260000000 1.3870000000 0.0172602596 0.00000000
24 0.9290000000 1.1540000000 0.0203465536 0.00000000
25 0.9290000000 1.2800000000 0.0164923596 0.00000000
26 0.9280000000 1.1890000000 0.0121329949 0.00000000
27 0.9270000000 1.3110000000 0.0127967227 0.00000000
28 0.9300000000 1.2310000000 0.0112321222 0.00000000
29 0.9290000000 1.6600000000 0.0178164947 0.00000000
30 0.9390000000 1.5880000000 0.0255677009 13.40000000
31 0.9420000000 1.3370000000 0.0177935278 10.93333333
32 0.9420000000 1.4100000000 0.0174800322 13.46666667
33 0.9430000000 1.2200000000 0.0132858489 10.33333333
34 0.9420000000 1.2430000000 0.0145169532 10.60000000
35 0.9500000000 1.1540000000 0.0175778275 9.40000000
36 0.9520000000 1.1740000000 0.0207233510 12.80000000
37 0.9560000000 1.0850000000 0.0125148137 7.86666667
38 0.9540000000 1.1410000000 0.0135642917 9.06666667
39 0.9600000000 1.0970000000 0.0127587152 9.66666667
40 0.9610000000 1.0810000000 0.0121877167 9.20000000
41 0.9630000000 0.9820000000 0.0102258501 8.20000000
42 0.9610000000 1.2020000000 0.0139411047 9.40000000
43 0.9650000000 1.0960000000 0.0158842728 7.86666667
44 0.9710000000 0.9400000000 0.0121262434 8.26666667
45 0.9700000000 0.9050000000 0.0088207505 7.66666667
46 0.9670000000 1.0200000000 0.0125764575 8.66666667
47 0.9710000000 1.0080000000 0.0146668479 8.73333333
48 0.9700000000 1.1150000000 0.0147449002 9.13333333
49 0.9680000000 1.0190000000 0.0151959200 9.00000000
50 0.9660000000 1.0050000000 0.0135771968 8.40000000
51 0.9690000000 1.0790000000 0.0153417900 9.73333333
52 0.9690000000 1.0390000000 0.0158003628 8.26666667
53 0.9700000000 0.9750000000 0.0137953846 8.20000000
54 0.9700000000 0.9740000000 0.0113612707 7.40000000
55 0.9710000000 0.9390000000 0.0118759618 7.86666667
56 0.9680000000 0.9890000000 0.0154917583 7.26666667
57 0.9690000000 1.3050000000 0.0296824629 10.80000000
58 0.9660000000 1.2370000000 0.0259468362 10.33333333
59 0.9660000000 1.2010000000 0.0254362588 9.13333333
group member
430 1436 351 429 354 1435 352 359 437 938 361 439 927 353 355 
|M| = 20
make network |V|=2000 |E|=4000
                flare                          flare.re  
t, Accessible, ave_query, ave_time, TABLE_REQ
00 0.8380000000 5.4160000000 0.1548818717 0.00000000
01 0.8800000000 1.9580000000 0.0240951393 0.00000000
02 0.8810000000 1.7870000000 0.0166914334 0.00000000
03 0.8830000000 1.7570000000 0.0210487499 0.00000000
04 0.8870000000 1.7840000000 0.0230825634 0.00000000
05 0.8920000000 1.8140000000 0.0247819278 0.00000000
06 0.8960000000 1.7100000000 0.0190286603 0.00000000
07 0.8950000000 1.6380000000 0.0168508189 0.00000000
08 0.8970000000 1.6820000000 0.0180392592 0.00000000
09 0.9040000000 1.4670000000 0.0147502289 0.00000000
10 0.9100000000 1.5690000000 0.0174645038 0.00000000
11 0.9130000000 1.7500000000 0.0288885133 0.00000000
12 0.9110000000 1.9780000000 0.0281471181 0.00000000
13 0.9160000000 1.8330000000 0.0295938053 0.00000000
14 0.9150000000 1.7250000000 0.0255494027 0.00000000
15 0.9070000000 1.6580000000 0.0198180449 0.00000000
16 0.9110000000 1.5580000000 0.0183203890 0.00000000
17 0.9120000000 1.8090000000 0.0201375325 0.00000000
18 0.9130000000 1.7310000000 0.0199520388 0.00000000
19 0.9080000000 1.6250000000 0.0153059354 0.00000000
20 0.9100000000 1.6350000000 0.0145221555 0.00000000
21 0.9150000000 1.4940000000 0.0148052676 0.00000000
22 0.9190000000 1.3910000000 0.0125340035 0.00000000
23 0.9260000000 1.3870000000 0.0180871737 0.00000000
24 0.9290000000 1.1540000000 0.0108095942 0.00000000
25 0.9290000000 1.2800000000 0.0150597336 0.00000000
26 0.9280000000 1.1890000000 0.0118522377 0.00000000
27 0.9270000000 1.3110000000 0.0125431356 0.00000000
28 0.9300000000 1.2310000000 0.0109288745 0.00000000
29 0.9290000000 1.6600000000 0.0172124689 0.00000000
30 0.9450000000 1.5070000000 0.0290268745 13.00000000
31 0.9470000000 1.2470000000 0.0174379542 9.30000000
32 0.9460000000 1.3650000000 0.0188211977 12.50000000
33 0.9470000000 1.1200000000 0.0122999370 8.30000000
34 0.9460000000 1.1180000000 0.0133507481 8.35000000
35 0.9530000000 1.0680000000 0.0188468311 8.25000000
36 0.9560000000 1.0860000000 0.0226948190 10.10000000
37 0.9600000000 1.0070000000 0.0146304297 7.20000000
38 0.9590000000 1.0930000000 0.0163195655 8.60000000
39 0.9620000000 1.0150000000 0.0146422758 9.20000000
40 0.9620000000 1.0010000000 0.0115707855 8.30000000
41 0.9630000000 0.9260000000 0.0085168777 7.60000000
42 0.9610000000 1.1050000000 0.0138992186 9.60000000
43 0.9640000000 1.1100000000 0.0196751919 13.00000000
44 0.9700000000 0.8580000000 0.0104371524 8.90000000
45 0.9710000000 0.8720000000 0.0098872309 8.70000000
46 0.9700000000 0.8920000000 0.0102591424 9.20000000
47 0.9740000000 0.9350000000 0.0132116239 9.40000000
48 0.9740000000 1.0360000000 0.0131047120 9.25000000
49 0.9720000000 0.8920000000 0.0120507386 8.85000000
50 0.9700000000 0.9330000000 0.0132433953 8.85000000
51 0.9710000000 0.9870000000 0.0127721653 9.20000000
52 0.9700000000 0.9820000000 0.0151014197 8.25000000
53 0.9710000000 0.9210000000 0.0124830065 8.00000000
54 0.9710000000 0.9190000000 0.0100239494 7.30000000
55 0.9720000000 0.8920000000 0.0119608643 7.95000000
56 0.9690000000 0.9190000000 0.0137793598 7.55000000
57 0.9690000000 1.2500000000 0.0275802174 11.20000000
58 0.9650000000 1.1550000000 0.0219510267 10.60000000
59 0.9670000000 1.1190000000 0.0229587822 10.30000000
group member
438 362 351 435 1435 352 437 927 353 355 430 1436 429 354 359 938 361 439 1439 440 
|M| = 25
make network |V|=2000 |E|=4000
                flare                          flare.re  
t, Accessible, ave_query, ave_time, TABLE_REQ
00 0.8380000000 5.4160000000 0.1334984074 0.00000000
01 0.8800000000 1.9580000000 0.0206711657 0.00000000
