|M| = 0
make network |V|=2000 |E|=4000
                not_group                          group  
t, Accessible, ave_query, ave_time, TABLE_REQ
31 0.8389194597 0.1758691846 0.0028009151 7.00000000
32 0.8349174587 0.1728894750 0.0027062273 7.20000000
33 0.8384192096 0.1669216961 0.0026135916 7.20000000
34 0.8374187094 0.1629386122 0.0025593575 6.20000000
35 0.8394197099 0.1583430604 0.0025355799 5.00000000
36 0.8399199600 0.1536714303 0.0024753945 5.20000000
37 0.8489244622 0.1483504910 0.0024758724 5.00000000
38 0.8394197099 0.1462910943 0.0023724586 5.20000000
39 0.8469234617 0.1414082041 0.0023082758 5.00000000
40 0.8489244622 0.1371051379 0.0022331319 5.00000000
41 0.8544272136 0.1303032469 0.0022284857 4.20000000
42 0.8584292146 0.1279476948 0.0021537014 4.40000000
43 0.8574287144 0.1259493383 0.0020940651 4.40000000
44 0.8574287144 0.1223834139 0.0020684801 4.20000000
45 0.8544272136 0.1202775301 0.0020140408 5.00000000
46 0.8619309655 0.1161644652 0.0020249508 4.80000000
47 0.8639319660 0.1133379190 0.0019517954 5.00000000
48 0.8644322161 0.1107594614 0.0019065288 4.60000000
49 0.8684342171 0.1078539270 0.0018558068 4.80000000
50 0.8719359680 0.1039931731 0.0018715108 4.60000000
51 0.8724362181 0.1023203910 0.0018342596 4.40000000
52 0.8739369685 0.0999273222 0.0017876942 4.40000000
53 0.8709354677 0.0979749134 0.0017475441 4.20000000
54 0.8939469735 0.0924553186 0.0018080891 4.00000000
55 0.8899449725 0.0912420496 0.0017900325 3.80000000
56 0.8894447224 0.0900186936 0.0017284383 3.80000000
57 0.8904452226 0.0883976471 0.0017035442 3.80000000
58 0.8909454727 0.0867976361 0.0016870226 3.80000000
59 0.8879439720 0.0874520594 0.0016371560 3.80000000
access %, disaccess %
0.015523138832997987, 0.07054527750730283
|M| = 10
make network |V|=2000 |E|=4000
                not_group                          group  
t, Accessible, ave_query, ave_time, TABLE_REQ
00 0.8409204602 5.4392196098 0.0950855844 0.00000000
01 0.7428714357 3.3274137069 0.0372605488 0.00000000
02 0.7343671836 2.2372853093 0.0247233423 0.00000000
03 0.7523761881 1.6529514757 0.0189059931 0.00000000
04 0.7768884442 1.2830415208 0.0158264397 0.00000000
05 0.7598799400 1.0910455228 0.0128019771 0.00000000
06 0.7658829415 0.9276066605 0.0109033453 0.00000000
07 0.7708854427 0.8057153577 0.0096351363 0.00000000
08 0.7803901951 0.7090211773 0.0087744460 0.00000000
09 0.7868934467 0.6343671836 0.0081368702 0.00000000
10 0.8034017009 0.5495020237 0.0075821925 0.00000000
11 0.8114057029 0.5081707520 0.0069346710 0.00000000
12 0.8274137069 0.4585754416 0.0066195176 0.00000000
